Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
10-17_R1	32.2932969752	42.0	101.0	6567688.0	33.3333333333
10-17_R2	31.7224206274	42.0	101.0	6567688.0	33.3333333333
10-18_R1	26.324904719	43.0	101.0	5986188.0	33.3333333333
10-18_R2	26.0633060311	43.0	101.0	5986188.0	33.3333333333
10-20_R1	29.4673105055	42.0	101.0	7793951.0	33.3333333333
10-20_R2	29.0907140835	42.0	101.0	7793951.0	33.3333333333
10-28_R1	31.0244917012	42.0	101.0	8302479.0	33.3333333333
10-28_R2	30.8731693527	42.0	101.0	8302479.0	33.3333333333
10-30_R1	28.1716958986	43.0	101.0	6581372.0	33.3333333333
10-30_R2	28.0287780441	43.0	101.0	6581372.0	33.3333333333
10-32_R1	25.4145299794	43.0	101.0	6493985.0	33.3333333333
10-32_R2	25.0744437538	43.0	101.0	6493985.0	33.3333333333
12-14_R1	15.5008829064	44.0	101.0	4153808.0	25.0
12-14_R2	15.1815214378	45.0	101.0	4153808.0	33.3333333333
12-2_R1	22.491927083	41.0	101.0	3257535.0	25.0
12-2_R2	22.289368857	41.0	101.0	3257535.0	25.0
12-7_R1	21.5134046643	41.0	101.0	3492526.0	25.0
12-7_R2	21.3306618817	41.0	101.0	3492526.0	25.0
13-10_R1	18.3414997947	42.0	101.0	3246564.0	25.0
13-10_R2	18.0902154056	42.0	101.0	3246564.0	25.0
13-13_R1	21.5145070144	42.0	101.0	4133291.0	25.0
13-13_R2	21.2848302005	42.0	101.0	4133291.0	25.0
13-16_R1	1.24223602484	42.0	101.0	161.0	25.0
13-16_R2	1.86335403727	45.0	101.0	161.0	25.0
13-9_R1	20.0051587955	42.0	101.0	3866849.0	25.0
13-9_R2	19.7338857863	42.0	101.0	3866849.0	25.0
14-11_R1	18.6423149141	46.0	101.0	7720664.0	25.0
14-11_R2	18.3298207806	46.0	101.0	7720664.0	33.3333333333
14-12_R1	19.2520305834	44.0	101.0	4186133.0	25.0
14-12_R2	18.7292756177	44.0	101.0	4186133.0	41.6666666667
14-8_R1	20.8539238249	41.0	101.0	3571099.0	25.0
14-8_R2	20.2292714738	41.0	101.0	3571099.0	25.0
15-3_R1	19.305960571	42.0	101.0	3588814.0	25.0
15-3_R2	18.9610266002	42.0	101.0	3588814.0	25.0
15-6_R1	20.6012482443	42.0	101.0	4757944.0	25.0
15-6_R2	20.5410020867	43.0	101.0	4757944.0	25.0
C2T1S2_r1	12.5505001635	45.0	101.0	4404647.0	25.0
C2T1S2_r2	12.3388538365	45.0	101.0	4404647.0	33.3333333333
C2T2S2_r1	10.4951294604	45.0	101.0	2786443.0	25.0
C2T2S2_r2	10.3379713347	45.0	101.0	2786443.0	33.3333333333
C2T3S1_r1	12.7740070154	45.0	101.0	4380357.0	25.0
C2T3S1_r2	12.6367835592	45.0	101.0	4380357.0	33.3333333333
C36T1S1_r1	21.4562133442	42.0	101.0	3667021.0	25.0
C36T1S1_r2	21.2538885538	42.0	101.0	3667021.0	25.0
C36T2S1_r1	18.4876668856	43.0	101.0	6186073.0	25.0
C36T2S1_r2	18.2073115562	43.0	101.0	6186073.0	25.0
C36T3S1_r1	19.2312902126	41.0	101.0	4670898.0	25.0
C36T3S1_r2	18.7813239036	42.0	101.0	4670898.0	25.0
H2T1S2_r1	9.52143167583	47.0	101.0	3201370.0	33.3333333333
H2T1S2_r2	9.44913874109	47.0	101.0	3201370.0	33.3333333333
H2T2S1_r1	10.4167869647	46.0	101.0	3480910.0	25.0
H2T2S1_r2	10.3767655034	46.0	101.0	3480910.0	33.3333333333
H2T3S2_r1	8.95613788792	47.0	101.0	3118683.0	25.0
H2T3S2_r2	9.03900772347	47.0	101.0	3118683.0	25.0
H36T1S1_r1	15.5936959336	42.0	101.0	3488972.0	25.0
H36T1S1_r2	15.3778273083	42.0	101.0	3488972.0	25.0
H36T2S1_r1	14.0169680859	43.0	101.0	3501343.0	25.0
H36T2S1_r2	13.6973898975	43.0	101.0	3501343.0	33.3333333333
H36T3S1_r1	12.8863733936	45.0	101.0	3775325.0	16.6666666667
H36T3S1_r2	12.8666134618	45.0	101.0	3775325.0	33.3333333333
