"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"TRINITY_DN58535_c2_g2_i3",30,0,41,23,39,9,47,0,0,19,5
"TRINITY_DN67005_c3_g1_i4",46,110,71,36,23,0,0,0,96,122,0
"TRINITY_DN55847_c0_g1_i5",23,4,18,24,16,27,15,34,0,8,38
"TRINITY_DN61040_c1_g1_i2",15,0,10,23,30,17,25,0,0,26,12
"TRINITY_DN58698_c1_g3_i4",5,8,7,4,18,36,34,21,13,21,32
"TRINITY_DN60353_c0_g1_i14",0,0,0,154,159,183,96,193,0,214,109
"TRINITY_DN66545_c0_g2_i5",23,0,26,29,16,43,49,14,0,0,31
"TRINITY_DN62287_c1_g1_i3",23,53,28,15,93,101,112,68,59,98,108
"TRINITY_DN59570_c0_g1_i4",73,0,0,34,0,21,187,31,0,0,21
"TRINITY_DN60385_c0_g1_i6",0,12,0,0,0,32,38,36,14,23,44
"TRINITY_DN64714_c1_g3_i7",131,0,0,38,62,241,102,47,0,26,57
"TRINITY_DN67086_c5_g2_i3",7,0,35,38,69,47,71,25,0,26,76
"TRINITY_DN58090_c1_g1_i13",24,802,32,5,140,79,267,68,152,27,20
"TRINITY_DN62838_c2_g1_i7",21,0,41,25,39,26,50,0,0,21,42
"TRINITY_DN57758_c1_g1_i2",39,49,0,44,0,35,0,30,85,0,44
"TRINITY_DN41816_c0_g1_i1",12,78,21,16,26,46,40,27,47,17,45
"TRINITY_DN57296_c0_g1_i1",13,177,7,8,21,8,24,11,81,87,2
"TRINITY_DN64108_c0_g1_i6",12,3,9,7,13,142,19,14,225,8,246
"TRINITY_DN62751_c0_g4_i1",31,0,14,34,55,38,66,0,0,29,63
"TRINITY_DN64869_c1_g2_i9",98,0,0,0,107,283,201,139,0,141,234
"TRINITY_DN60839_c0_g1_i1",13,0,25,13,12,10,5,18,0,11,12
"TRINITY_DN61285_c0_g1_i6",27,21,25,16,27,1,59,0,0,48,0
"TRINITY_DN67496_c14_g1_i2",0,11,0,0,34,8,13,10,24,26,7
"TRINITY_DN54903_c0_g2_i2",0,21,0,0,19,74,27,69,26,56,8
"TRINITY_DN65386_c1_g1_i1",99,0,99,0,16,68,154,70,0,49,81
"TRINITY_DN62673_c0_g1_i1",6,559,6,10,24,21,9,0,76,28,17
"TRINITY_DN61622_c2_g3_i1",47,135,76,85,68,32,71,28,124,42,43
"TRINITY_DN61333_c0_g2_i1",35,0,24,37,31,25,10,36,0,28,30
"TRINITY_DN67334_c3_g2_i1",0,77,0,0,110,46,124,80,58,98,140
"TRINITY_DN58698_c1_g3_i2",22,8,13,7,10,0,20,0,15,14,4
"TRINITY_DN63169_c1_g1_i4",14,19,1,24,10,0,9,0,33,17,0
"TRINITY_DN61147_c1_g2_i2",9,228,12,19,60,13,28,11,49,8,13
"TRINITY_DN66491_c2_g1_i2",39,86,24,25,64,67,122,58,72,38,54
"TRINITY_DN60854_c0_g1_i3",29,0,29,12,66,15,38,14,0,28,0
"TRINITY_DN57869_c0_g2_i5",1,26,0,0,15,5,28,31,7,13,17
"TRINITY_DN66611_c1_g1_i8",4,0,25,37,28,28,52,60,0,6,53
"TRINITY_DN57472_c1_g2_i3",111,6,126,85,197,122,255,283,0,78,197
"TRINITY_DN62163_c0_g1_i4",33,0,24,24,62,19,34,5,0,9,26
"TRINITY_DN66428_c0_g1_i7",20,0,13,13,11,10,14,7,0,9,0
"TRINITY_DN65304_c1_g1_i7",0,1428,25,19,55,6,17,0,50,22,9
"TRINITY_DN64166_c0_g1_i14",18,0,8,8,6,20,19,29,0,11,31
"TRINITY_DN50754_c0_g1_i1",50,2715,153,81,192,163,167,31,133,243,42
"TRINITY_DN58136_c1_g3_i1",0,0,118,0,112,87,105,71,0,0,28
"TRINITY_DN55994_c2_g1_i1",20,0,25,19,32,10,43,0,0,18,0
"TRINITY_DN67356_c4_g1_i17",33,0,42,75,12,0,52,33,0,7,50
"TRINITY_DN45929_c0_g1_i1",116,0,10,37,0,58,281,92,0,34,60
"TRINITY_DN64059_c0_g1_i8",19,31,29,62,76,0,26,0,0,44,0
"TRINITY_DN57579_c0_g1_i9",148,0,188,218,239,224,242,162,0,210,204
"TRINITY_DN62878_c0_g1_i4",54,0,233,48,139,199,1,72,2,70,50
"TRINITY_DN64749_c0_g4_i4",0,0,0,0,19,22,24,13,0,22,25
"TRINITY_DN59835_c0_g1_i5",7,28,1,0,7,19,35,17,28,17,16
"TRINITY_DN66357_c2_g1_i10",84,0,52,10,33,47,152,73,0,8,35
"TRINITY_DN61619_c1_g1_i21",2,37,51,66,94,0,27,0,23,0,0
"TRINITY_DN59768_c3_g1_i2",26,11,60,38,38,14,51,10,22,19,6
"TRINITY_DN55335_c3_g1_i2",0,58,2,1,35,22,19,25,31,4,11
"TRINITY_DN51487_c0_g1_i4",126,0,13,48,16,76,439,81,0,43,96
"TRINITY_DN63440_c0_g1_i1",51,0,0,16,0,24,160,39,0,0,37
"TRINITY_DN59185_c1_g1_i5",10,4,12,15,14,4,15,0,2,12,4
"TRINITY_DN60769_c1_g3_i1",135,39,173,169,199,61,230,65,35,104,213
"TRINITY_DN65841_c3_g1_i9",0,69,0,0,77,22,18,67,61,7,30
"TRINITY_DN61749_c0_g1_i2",21,0,47,21,37,10,46,29,0,25,46
"TRINITY_DN46680_c0_g1_i2",54,0,7,14,7,18,99,42,0,10,24
"TRINITY_DN65841_c3_g1_i6",60,0,46,57,24,31,80,0,0,75,61
"TRINITY_DN58090_c1_g1_i17",7,445,31,5,66,61,113,175,106,31,13
"TRINITY_DN66338_c2_g1_i8",37,0,24,16,74,37,20,99,0,27,22
"TRINITY_DN60333_c1_g1_i4",54,0,60,0,21,77,76,50,0,44,45
"TRINITY_DN65954_c0_g1_i7",9,0,29,26,39,23,71,54,0,10,14
"TRINITY_DN60590_c0_g1_i1",77,0,77,39,59,54,113,120,0,0,105
"TRINITY_DN57435_c1_g1_i7",89,0,45,47,0,72,141,40,0,112,41
"TRINITY_DN65304_c1_g1_i9",16,2004,38,60,145,21,35,2,163,26,22
"TRINITY_DN66232_c1_g1_i3",25,0,22,41,124,76,87,64,0,24,7
"TRINITY_DN62483_c0_g1_i10",70,0,10,18,34,12,32,17,0,41,33
"TRINITY_DN52928_c0_g1_i3",0,55,0,0,42,0,184,122,99,89,0
"TRINITY_DN67425_c1_g2_i4",102,0,0,107,159,104,175,125,0,86,147
"TRINITY_DN41086_c0_g2_i2",46,0,0,15,0,19,116,51,0,0,37
"TRINITY_DN66466_c0_g1_i7",57,0,49,31,24,70,52,118,0,0,128
"TRINITY_DN66234_c0_g1_i1",26,18,32,49,50,89,86,100,26,48,117
"TRINITY_DN56780_c2_g1_i4",15,0,17,11,24,8,20,8,0,6,14
"TRINITY_DN64139_c0_g1_i4",19,0,89,0,25,52,93,62,0,88,55
"TRINITY_DN65448_c0_g1_i13",0,22,0,0,9,20,7,24,31,13,11
